fecha,medidas,tipo,dormitorios,disponible,piso,dormitorios_cont,area,modelo,precio,proyecto_link
"30 de Agosto, 2022",45.53 a 60.96 m2,Departamento,1 a 2 dormitorios,1 unidad disponible,2,1 dorm.,47.22 m2,Tipo 2,"350,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1301-reserva-748-cercado-de-lima-lima-lima-cantabria
"30 de Agosto, 2022",45.53 a 60.96 m2,Departamento,1 a 2 dormitorios,1 unidad disponible,4,1 dorm.,45.53 m2,Tipo 3,"350,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1301-reserva-748-cercado-de-lima-lima-lima-cantabria
"30 de Agosto, 2022",45.53 a 60.96 m2,Departamento,1 a 2 dormitorios,7 unidades disponibles,3,2 dorm.,59.85 m2,Tipo 5,"460,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1301-reserva-748-cercado-de-lima-lima-lima-cantabria
"30 de Agosto, 2022",45.53 a 60.96 m2,Departamento,1 a 2 dormitorios,3 unidades disponibles,"4, 11, 20",2 dorm.,60.96 m2,Tipo 6,"460,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1301-reserva-748-cercado-de-lima-lima-lima-cantabria
"31 de Diciembre, 2022",53.38 a 69.75 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,3,3 dorm.,69.75 m2,Tipo 1,"494,900",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1816-central-home-cercado-de-lima-lima-lima-casa-bonita
"31 de Diciembre, 2022",53.38 a 69.75 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,13,2 dorm.,63.50 m2,Tipo 3,"431,900",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1816-central-home-cercado-de-lima-lima-lima-casa-bonita
"31 de Diciembre, 2022",53.38 a 69.75 m2,Departamento,1 a 3 dormitorios,2 unidades disponibles,2 y 7,1 dorm.,53.38 m2,Tipo 4,"384,900",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1816-central-home-cercado-de-lima-lima-lima-casa-bonita
"31 de Diciembre, 2022",53.38 a 69.75 m2,Departamento,1 a 3 dormitorios,2 unidades disponibles,2 y 3,2 dorm.,61.87 m2,Tipo 5,"429,900",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1816-central-home-cercado-de-lima-lima-lima-casa-bonita
"31 de Octubre, 2023",80.00 a 81.90 m2,Departamento,2 a 3 dormitorios,3 unidades disponibles,"4, 5, 6",3 dorm.,80.00 m2,TIPO 5,"477,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1866-edificio-los-pinos-iii-cercado-de-lima-lima-lima-grupo-mg
"31 de Octubre, 2023",80.00 a 81.90 m2,Departamento,2 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1866-edificio-los-pinos-iii-cercado-de-lima-lima-lima-grupo-mg
